Notes;ObservationDateTime;Researchers;Equipment;Location;ResearchProject
Saw a pod of dolphins near the reef;2024-05-15T09:30:00;John Smith,Emma Johnson;Underwater Camera,Bottlenose Dolphin;Great Barrier Reef;Cognitive Abilities of Bottlenose Dolphins
Recorded coral bleaching event;2024-06-02T11:45:00;Emily Brown,Michael Lee;Underwater Camera,Oceanographic Buoy;Great Barrier Reef;Reef Dynamics and Humphead Wrasse Interactions
Spotted a blue whale breaching;2024-05-20T13:15:00;Sophia Rodriguez;Underwater Camera,Hydrophone;Monterey Bay;Migration Patterns of Blue Whales
Deployed sediment sampler for analysis;2024-06-10T08:00:00;David Johnson;Sediment Sampler;Bay of Fundy;Genetic Diversity in Atlantic Salmon Populations
Conducted sonar mapping of the Mariana Trench;2024-05-28T14:20:00;Daniel Wilson;Sonar System;Mariana Trench;Deep-sea Exploration of Giant Squid Habitats
Observed coral trout spawning behavior;2024-06-05T10:00:00;Sarah Miller;Underwater Camera;Coral Triangle;Conservation Genetics of Coral Trout Populations
Detected high levels of hydrogen sulfide near the ocean floor;2024-06-15T09:45:00;Olivia Thompson;Hydrogen Sulfide Detector;Antarctic Peninsula;Invasive Lionfish Impact on Coral Reef Ecosystems
Surveyed coral reef health using an aquatic GPS tracker;2024-05-25T12:30:00;James Davis;Aquatic GPS Tracker;Hawaiian Islands;Sea Otter Behavior and Foraging Ecology
Explored deep-sea habitats with a submersible drone;2024-06-08T15:00:00;Ava Garcia;Submersible Drone;Bermuda Triangle;Deep-sea Exploration of Giant Squid Habitats
Investigated jellyfish blooms in the Gulf of Mexico;2024-05-30T10:45:00;William Clark;Underwater Camera;Gulf of Mexico;Jellyfish Blooms and Their Environmental Impacts
Tracked the movement of a megalodon using an aquatic telemetry system;2024-06-12T11:00:00;Ethan Moore;Aquatic Telemetry System;Bering Sea;Prehistoric Megalodon Distribution Patterns
